employee_id,leave_type,year,entitled_days,taken_days,balance_days
MOEI-10001,Annual,2026,22,21,1
MOEI-10001,Sick,2026,15,3,12
MOEI-10002,Annual,2026,25,23,2
MOEI-10002,Sick,2026,15,3,12
MOEI-10003,Annual,2026,30,9,21
MOEI-10003,Sick,2026,15,4,11
MOEI-10004,Annual,2026,25,18,7
MOEI-10004,Sick,2026,15,7,8
MOEI-10005,Annual,2026,25,8,17
MOEI-10005,Sick,2026,15,6,9
MOEI-10006,Annual,2026,25,25,0
MOEI-10006,Sick,2026,15,1,14
MOEI-10007,Annual,2026,25,13,12
MOEI-10007,Sick,2026,15,2,13
MOEI-10007,Hajj,2026,5,4,1
MOEI-10008,Annual,2026,25,12,13
MOEI-10008,Sick,2026,15,0,15
MOEI-10009,Annual,2026,22,1,21
MOEI-10009,Sick,2026,15,7,8
MOEI-10009,Hajj,2026,10,7,3
MOEI-10010,Annual,2026,30,28,2
MOEI-10010,Sick,2026,15,7,8
MOEI-10011,Annual,2026,25,5,20
MOEI-10011,Sick,2026,15,5,10
MOEI-10012,Annual,2026,30,27,3
MOEI-10012,Sick,2026,15,3,12
MOEI-10013,Annual,2026,25,22,3
MOEI-10013,Sick,2026,15,6,9
MOEI-10014,Annual,2026,22,5,17
MOEI-10014,Sick,2026,15,2,13
MOEI-10015,Annual,2026,30,23,7
MOEI-10015,Sick,2026,15,5,10
MOEI-10016,Annual,2026,25,25,0
MOEI-10016,Sick,2026,15,2,13
MOEI-10017,Annual,2026,25,24,1
MOEI-10017,Sick,2026,15,4,11
MOEI-10018,Annual,2026,22,2,20
MOEI-10018,Sick,2026,15,7,8
MOEI-10019,Annual,2026,30,15,15
MOEI-10019,Sick,2026,15,2,13
MOEI-10020,Annual,2026,25,16,9
MOEI-10020,Sick,2026,15,4,11
MOEI-10021,Annual,2026,30,10,20
MOEI-10021,Sick,2026,15,5,10
MOEI-10022,Annual,2026,25,12,13
MOEI-10022,Sick,2026,15,1,14
MOEI-10022,Study,2026,10,3,7
MOEI-10023,Annual,2026,22,3,19
MOEI-10023,Sick,2026,15,1,14
MOEI-10024,Annual,2026,25,21,4
MOEI-10024,Sick,2026,15,7,8
MOEI-10025,Annual,2026,25,7,18
MOEI-10025,Sick,2026,15,3,12
MOEI-10025,Parental,2026,20,13,7
MOEI-10026,Annual,2026,25,2,23
MOEI-10026,Sick,2026,15,0,15
MOEI-10027,Annual,2026,22,3,19
MOEI-10027,Sick,2026,15,0,15
MOEI-10028,Annual,2026,30,2,28
MOEI-10028,Sick,2026,15,7,8
MOEI-10029,Annual,2026,30,19,11
MOEI-10029,Sick,2026,15,0,15
MOEI-10030,Annual,2026,30,10,20
MOEI-10030,Sick,2026,15,1,14
MOEI-10031,Annual,2026,25,12,13
MOEI-10031,Sick,2026,15,2,13
MOEI-10032,Annual,2026,22,18,4
MOEI-10032,Sick,2026,15,3,12
MOEI-10033,Annual,2026,25,15,10
MOEI-10033,Sick,2026,15,7,8
MOEI-10034,Annual,2026,25,7,18
MOEI-10034,Sick,2026,15,3,12
MOEI-10035,Annual,2026,30,13,17
MOEI-10035,Sick,2026,15,3,12
MOEI-10035,Parental,2026,5,1,4
MOEI-10036,Annual,2026,25,1,24
MOEI-10036,Sick,2026,15,2,13
MOEI-10037,Annual,2026,25,11,14
MOEI-10037,Sick,2026,15,6,9
MOEI-10038,Annual,2026,30,27,3
MOEI-10038,Sick,2026,15,1,14
MOEI-10039,Annual,2026,30,21,9
MOEI-10039,Sick,2026,15,7,8
MOEI-10040,Annual,2026,25,6,19
MOEI-10040,Sick,2026,15,7,8
MOEI-10041,Annual,2026,22,11,11
MOEI-10041,Sick,2026,15,2,13
MOEI-10042,Annual,2026,30,14,16
MOEI-10042,Sick,2026,15,6,9
MOEI-10043,Annual,2026,25,2,23
MOEI-10043,Sick,2026,15,1,14
MOEI-10044,Annual,2026,30,16,14
MOEI-10044,Sick,2026,15,4,11
MOEI-10044,Hajj,2026,10,0,10
MOEI-10045,Annual,2026,30,19,11
MOEI-10045,Sick,2026,15,5,10
MOEI-10045,Hajj,2026,15,12,3
MOEI-10046,Annual,2026,22,22,0
MOEI-10046,Sick,2026,15,5,10
MOEI-10046,Parental,2026,15,2,13
MOEI-10047,Annual,2026,25,17,8
MOEI-10047,Sick,2026,15,3,12
MOEI-10048,Annual,2026,25,19,6
MOEI-10048,Sick,2026,15,4,11
MOEI-10049,Annual,2026,25,1,24
MOEI-10049,Sick,2026,15,1,14
MOEI-10050,Annual,2026,25,8,17
MOEI-10050,Sick,2026,15,0,15
MOEI-10050,Hajj,2026,15,6,9
MOEI-10051,Annual,2026,30,10,20
MOEI-10051,Sick,2026,15,0,15
MOEI-10052,Annual,2026,25,17,8
MOEI-10052,Sick,2026,15,5,10
MOEI-10053,Annual,2026,25,21,4
MOEI-10053,Sick,2026,15,0,15
MOEI-10054,Annual,2026,25,2,23
MOEI-10054,Sick,2026,15,0,15
MOEI-10055,Annual,2026,25,2,23
MOEI-10055,Sick,2026,15,6,9
MOEI-10056,Annual,2026,30,19,11
