record_id,employee_id,cycle_year,score,rating_band,objectives_met_pct,reviewer_id
PERF-00001,MOEI-10001,2023,68,Partially Meets,61,MOEI-10111
PERF-00002,MOEI-10001,2024,77,Meets Expectations,77,MOEI-10111
PERF-00003,MOEI-10001,2025,68,Partially Meets,70,MOEI-10111
PERF-00004,MOEI-10002,2023,64,Partially Meets,68,MOEI-10177
PERF-00005,MOEI-10002,2024,71,Meets Expectations,68,MOEI-10177
PERF-00006,MOEI-10002,2025,63,Partially Meets,59,MOEI-10177
PERF-00007,MOEI-10003,2023,64,Partially Meets,70,MOEI-10155
PERF-00008,MOEI-10003,2024,69,Partially Meets,76,MOEI-10155
PERF-00009,MOEI-10003,2025,69,Partially Meets,73,MOEI-10155
PERF-00010,MOEI-10004,2023,80,Meets Expectations,82,MOEI-10056
PERF-00011,MOEI-10004,2024,80,Meets Expectations,81,MOEI-10056
PERF-00012,MOEI-10004,2025,82,Meets Expectations,78,MOEI-10056
PERF-00013,MOEI-10005,2023,74,Meets Expectations,69,MOEI-10152
PERF-00014,MOEI-10005,2024,79,Meets Expectations,80,MOEI-10152
PERF-00015,MOEI-10005,2025,77,Meets Expectations,88,MOEI-10152
PERF-00016,MOEI-10006,2023,75,Meets Expectations,69,MOEI-10151
PERF-00017,MOEI-10006,2024,67,Partially Meets,70,MOEI-10151
PERF-00018,MOEI-10006,2025,70,Meets Expectations,71,MOEI-10151
PERF-00019,MOEI-10008,2023,61,Partially Meets,64,MOEI-10154
PERF-00020,MOEI-10008,2024,63,Partially Meets,64,MOEI-10154
PERF-00021,MOEI-10008,2025,73,Meets Expectations,71,MOEI-10154
PERF-00022,MOEI-10009,2023,87,Exceeds Expectations,88,MOEI-10105
PERF-00023,MOEI-10009,2024,88,Exceeds Expectations,89,MOEI-10105
PERF-00024,MOEI-10009,2025,86,Exceeds Expectations,81,MOEI-10105
PERF-00025,MOEI-10010,2023,73,Meets Expectations,73,MOEI-10089
PERF-00026,MOEI-10010,2024,74,Meets Expectations,78,MOEI-10089
PERF-00027,MOEI-10010,2025,70,Meets Expectations,72,MOEI-10089
PERF-00028,MOEI-10011,2023,78,Meets Expectations,80,MOEI-10148
PERF-00029,MOEI-10011,2024,84,Meets Expectations,82,MOEI-10148
PERF-00030,MOEI-10011,2025,84,Meets Expectations,81,MOEI-10148
PERF-00031,MOEI-10012,2023,63,Partially Meets,62,
PERF-00032,MOEI-10012,2024,61,Partially Meets,66,
PERF-00033,MOEI-10012,2025,51,Below Expectations,45,
PERF-00034,MOEI-10013,2023,67,Partially Meets,72,MOEI-10067
PERF-00035,MOEI-10013,2024,71,Meets Expectations,75,MOEI-10067
PERF-00036,MOEI-10013,2025,65,Partially Meets,69,MOEI-10067
PERF-00037,MOEI-10014,2024,58,Below Expectations,56,MOEI-10252
PERF-00038,MOEI-10014,2025,60,Partially Meets,56,MOEI-10252
PERF-00039,MOEI-10015,2023,87,Exceeds Expectations,88,MOEI-10028
PERF-00040,MOEI-10015,2024,87,Exceeds Expectations,75,MOEI-10028
PERF-00041,MOEI-10015,2025,87,Exceeds Expectations,95,MOEI-10028
PERF-00042,MOEI-10016,2023,78,Meets Expectations,79,MOEI-10085
PERF-00043,MOEI-10016,2024,72,Meets Expectations,79,MOEI-10085
PERF-00044,MOEI-10016,2025,72,Meets Expectations,64,MOEI-10085
PERF-00045,MOEI-10017,2023,63,Partially Meets,70,MOEI-10105
PERF-00046,MOEI-10017,2024,64,Partially Meets,60,MOEI-10105
PERF-00047,MOEI-10017,2025,69,Partially Meets,68,MOEI-10105
PERF-00048,MOEI-10018,2024,70,Meets Expectations,66,MOEI-10088
PERF-00049,MOEI-10018,2025,68,Partially Meets,74,MOEI-10088
