record_id,employee_id,course_name,category,provider,completion_date,hours,status,result
TRN-00001,MOEI-10001,PMP Preparation,Project Management,Mohammed Bin Rashid School of Government,2024-06-03,16,Completed,Passed
TRN-00002,MOEI-10001,Generative AI Foundations,Digital & AI,MOEI Academy,2023-08-27,4,Completed,Passed
TRN-00003,MOEI-10001,Public Speaking,Language & Communication,External Vendor,2025-09-12,12,Completed,Passed
TRN-00004,MOEI-10002,Anti-Fraud Awareness,Compliance & Ethics,Mohammed Bin Rashid School of Government,,24,Enrolled,
TRN-00005,MOEI-10002,PMP Preparation,Project Management,Mohammed Bin Rashid School of Government,2022-05-26,24,Completed,Passed
TRN-00006,MOEI-10002,Occupational Health & Safety,Health & Safety,MOEI Academy,2022-09-24,4,Completed,Passed
TRN-00007,MOEI-10002,Customer Happiness Standards,Customer Service,Federal Authority for Government HR,2022-06-26,40,Completed,Passed
TRN-00008,MOEI-10002,Public Speaking,Language & Communication,Coursera (Gov Licence),,24,In Progress,
TRN-00009,MOEI-10003,Public Procurement Rules,Finance & Procurement,External Vendor,2023-02-10,4,Completed,Passed
TRN-00010,MOEI-10003,Occupational Health & Safety,Health & Safety,Coursera (Gov Licence),,4,In Progress,
TRN-00011,MOEI-10003,Emergency Response,Health & Safety,Coursera (Gov Licence),2025-11-02,16,Completed,Passed
TRN-00012,MOEI-10004,PMP Preparation,Project Management,Mohammed Bin Rashid School of Government,2025-06-17,16,Completed,Passed
TRN-00013,MOEI-10004,Data Visualization,Data Analytics,MOEI Academy,2023-10-28,4,Completed,Passed
TRN-00014,MOEI-10005,Generative AI Foundations,Digital & AI,Federal Authority for Government HR,2024-09-07,12,Completed,Passed
TRN-00015,MOEI-10005,Information Security Basics,Compliance & Ethics,MOEI Academy,2025-03-22,16,Completed,Passed
TRN-00016,MOEI-10005,Energy Systems,Technical & Engineering,External Vendor,2022-05-26,16,Completed,Passed
TRN-00017,MOEI-10006,Arabic Business Writing,Language & Communication,External Vendor,2023-05-04,8,Completed,Passed
TRN-00018,MOEI-10006,Emergency Response,Health & Safety,External Vendor,2022-05-16,16,Completed,Passed
TRN-00019,MOEI-10006,Service Design Thinking,Customer Service,Federal Authority for Government HR,2025-01-20,40,Completed,Passed
TRN-00020,MOEI-10006,Digital Transformation,Digital & AI,Coursera (Gov Licence),2022-08-23,12,Completed,Passed
TRN-00021,MOEI-10007,Digital Transformation,Digital & AI,Coursera (Gov Licence),2026-02-20,4,Completed,Passed
TRN-00022,MOEI-10007,Business English,Language & Communication,MOEI Academy,2026-04-13,4,Completed,Passed
TRN-00023,MOEI-10007,PMP Preparation,Project Management,Federal Authority for Government HR,2026-01-06,16,Completed,Passed
TRN-00024,MOEI-10007,Infrastructure Asset Management,Technical & Engineering,Coursera (Gov Licence),2026-04-15,8,Completed,Passed
TRN-00025,MOEI-10007,Risk Management Fundamentals,Project Management,Mohammed Bin Rashid School of Government,2026-03-28,16,Completed,Passed
TRN-00026,MOEI-10008,Code of Ethics Refresher,Compliance & Ethics,External Vendor,2025-04-08,16,Completed,Passed
TRN-00027,MOEI-10008,Data Visualization,Data Analytics,External Vendor,2022-05-08,4,Completed,Passed
TRN-00028,MOEI-10008,Coaching for Managers,Leadership & Management,MOEI Academy,,8,In Progress,
TRN-00029,MOEI-10008,Service Design Thinking,Customer Service,Coursera (Gov Licence),2025-07-04,16,Completed,Passed
TRN-00030,MOEI-10008,Maritime Safety Standards,Technical & Engineering,Federal Authority for Government HR,2025-09-18,8,Completed,Passed
